Timestamp,Applicant Name,Score from 1 to 5 (1 is lowest)
2023-02-02 19:20:41.934,11A,4
2023-02-02 19:22:16.083,11A,1
2023-02-02 19:22:54.268,11A,3
2023-02-02 19:22:54.414,11A,2
2023-02-02 19:22:56.071,11A,3
2023-02-02 19:22:57.458,11A,3
2023-02-02 19:23:00.429,11A,3
2023-02-02 19:23:11.473,11A,4
2023-02-02 19:23:13.880,11A,4
2023-02-02 19:23:14.024,11A,4
2023-02-02 19:23:16.033,11A,4
2023-02-02 19:23:16.718,11A,3
2023-02-02 19:23:17.176,11A,4
2023-02-02 19:23:17.581,11A,4
2023-02-02 19:23:18.566,11A,3
2023-02-02 19:23:19.127,11A,3
2023-02-02 19:23:19.535,11A,4
2023-02-02 19:23:19.782,11A,4
2023-02-02 19:23:20.527,11A,3
2023-02-02 19:23:20.543,11A,5
2023-02-02 19:23:20.990,11A,3
2023-02-02 19:23:21.423,11A,3
2023-02-02 19:23:22.121,11A,4
2023-02-02 19:23:22.142,11A,3
2023-02-02 19:23:26.247,11A,3
2023-02-02 19:23:26.693,11A,4
2023-02-02 19:23:27.384,11A,4
2023-02-02 19:23:29.847,11A,4
2023-02-02 19:23:33.697,11A,4
2023-02-02 19:23:34.317,11A,2
2023-02-02 19:23:39.822,11A,4
2023-02-02 19:24:42.042,11A,5
2023-02-02 19:30:33.111,11A,4
2023-02-02 19:04:06.805,12A,2
2023-02-02 19:04:10.566,12A,3
2023-02-02 19:04:17.358,12A,3
2023-02-02 19:04:23.359,12A,2
2023-02-02 19:04:24.641,12A,2
2023-02-02 19:04:25.708,12A,3
2023-02-02 19:04:37.926,12A,3
2023-02-02 19:04:43.991,12A,3
2023-02-02 19:04:44.662,12A,2
2023-02-02 19:04:45.417,12A,1
2023-02-02 19:04:52.250,12A,1
2023-02-02 19:04:54.179,12A,3
2023-02-02 19:04:55.767,12A,2
2023-02-02 19:05:00.538,12A,3
2023-02-02 19:05:01.795,12A,2
2023-02-02 19:05:05.368,12A,3
2023-02-02 19:05:06.095,12A,3
2023-02-02 19:05:07.693,12A,2
2023-02-02 19:05:07.772,12A,3
2023-02-02 19:05:07.942,12A,3
2023-02-02 19:05:10.038,12A,3
2023-02-02 19:05:10.792,12A,4
2023-02-02 19:05:13.716,12A,2
2023-02-02 19:05:17.023,12A,4
2023-02-02 19:05:20.002,12A,3
2023-02-02 19:05:20.939,12A,3
2023-02-02 19:05:21.859,12A,3
2023-02-02 19:05:39.686,12A,3
2023-02-02 19:05:44.373,12A,3
2023-02-02 19:06:32.000,12A,2
2023-02-02 19:28:45.441,13A,1
2023-02-02 19:30:13.107,13A,2
2023-02-02 19:30:15.330,13A,4
2023-02-02 19:30:15.839,13A,2
2023-02-02 19:30:19.461,13A,4
2023-02-02 19:30:20.406,13A,2
2023-02-02 19:30:21.308,13A,5
2023-02-02 19:30:22.490,13A,4
2023-02-02 19:30:23.065,13A,4
2023-02-02 19:30:25.142,13A,3
2023-02-02 19:30:25.715,13A,3
2023-02-02 19:30:25.823,13A,3
2023-02-02 19:30:27.179,13A,1
2023-02-02 19:30:27.547,13A,3
2023-02-02 19:30:27.997,13A,2
2023-02-02 19:30:28.911,13A,3
2023-02-02 19:30:29.098,13A,3
2023-02-02 19:30:30.208,13A,4
2023-02-02 19:30:31.335,13A,4
2023-02-02 19:30:36.687,13A,4
2023-02-02 19:30:38.443,13A,3
2023-02-02 19:30:38.842,13A,3
2023-02-02 19:30:39.268,13A,3
2023-02-02 19:30:39.585,13A,4
2023-02-02 19:30:45.729,13A,2
2023-02-02 19:30:47.124,13A,4
2023-02-02 19:30:52.436,13A,4
2023-02-02 19:30:53.373,13A,3
2023-02-02 19:30:55.098,13A,4
2023-02-02 19:31:04.339,13A,3
2023-02-02 19:31:12.830,13A,4
2023-02-02 19:31:28.081,13A,4
2023-02-02 19:41:39.420,13A,2
2023-02-02 19:35:45.324,14A,2
2023-02-02 19:41:32.026,14A,4
2023-02-02 19:41:32.552,14A,4
2023-02-02 19:41:34.091,14A,2
2023-02-02 19:41:34.827,14A,4
2023-02-02 19:41:35.134,14A,4
2023-02-02 19:41:36.495,14A,2
2023-02-02 19:41:37.101,14A,4
2023-02-02 19:41:40.694,14A,3
2023-02-02 19:41:41.284,14A,3
2023-02-02 19:41:41.898,14A,2
2023-02-02 19:41:42.363,14A,4
2023-02-02 19:41:44.161,14A,4
2023-02-02 19:41:44.371,14A,3
2023-02-02 19:41:47.422,14A,4
2023-02-02 19:41:47.575,14A,3
2023-02-02 19:41:53.986,14A,5
2023-02-02 19:41:54.059,14A,4
2023-02-02 19:41:54.742,14A,2
2023-02-02 19:41:58.123,14A,3
2023-02-02 19:42:00.974,14A,2
2023-02-02 19:42:01.092,14A,3
2023-02-02 19:42:01.332,14A,4
2023-02-02 19:42:01.526,14A,3
2023-02-02 19:42:03.211,14A,4
2023-02-02 19:42:03.847,14A,4
2023-02-02 19:42:10.193,14A,2
2023-02-02 19:42:33.581,14A,3
2023-02-02 19:42:39.506,14A,3
2023-02-02 19:42:41.906,14A,3
2023-02-02 19:43:20.324,14A,5
2023-02-02 19:43:28.517,14A,3
2023-02-02 19:47:15.019,15A,5
2023-02-02 19:47:16.142,15A,3
2023-02-02 19:47:16.321,15A,4
2023-02-02 19:47:26.215,15A,4
2023-02-02 19:48:13.501,15A,2
2023-02-02 19:49:44.257,15A,4
2023-02-02 19:50:58.550,15A,5
2023-02-02 19:51:54.958,15A,5
2023-02-02 19:51:55.385,15A,5
2023-02-02 19:51:57.153,15A,5
